From/To,Embry-Riddle Aeronautical University FL,Montgomery AL,Phoenix AZ,Little Rock AR,Sacramento CA,Denver CO,Hartford CT,Dover DE,Tallahassee FL,Atlanta GA,Boise ID,Springfield IL,Indianapolis IN,Des Moines IA,Topeka KS,Frankfort KY,Baton Rouge LA,Augusta ME,Annapolis MD,Boston MA,Lansing MI,St. Paul MN,Jackson MS,Jefferson City MO,Helena MT,Lincoln NE,Carson City NV,Concord NH,Trenton NJ,Santa Fe NM,Albany NY,Raleigh NC,Bismarck ND,Columbus OH,Oklahoma City OK,Salem OR,Harrisburg PA,Providence RI,Columbia SC,Pierre SD,Nashville TN,Austin TX,Salt Lake City UT,Montpelier VT,Richmond VA,Olympia WA,Charleston WV,Madison WI,Cheyenne WY,
Topeka KS,1732.41,1124.18,1593.88,564.99,2228.84,803.79,1964.85,1735.25,1412.15,1168.15,1782.31,523.74,821.18,331.57,0.00,942.53,1039.67,2218.47,1654.32,2099.83,1019.54,690.53,898.95,307.86,1570.54,214.39,2072.70,2066.17,1790.82,980.15,1881.00,1545.39,957.46,1091.38,430.08,2341.51,1611.07,2069.44,1421.30,707.31,846.09,994.37,1394.22,1997.12,1597.82,2369.12,1219.89,690.37,811.50,
Frankfort KY,1062.57,660.31,2499.07,765.97,3169.27,1743.84,1111.22,818.10,864.87,496.95,2683.70,449.64,206.66,835.62,942.53,0.00,1037.95,1429.87,733.28,1257.96,504.61,1014.29,814.02,637.46,2401.54,1054.28,3011.98,1252.46,898.41,1888.55,1062.05,615.57,1612.72,253.94,1164.46,3230.15,725.09,1213.50,580.43,1460.45,282.73,1473.37,2326.87,1227.42,656.76,3227.05,283.36,662.70,1734.21,
Baton Rouge LA,987.79,510.71,1995.14,488.61,2903.33,1622.50,2077.77,1722.93,661.97,737.72,2642.98,1048.54,1131.97,1257.29,1039.67,1037.95,0.00,2426.74,1640.62,2226.12,1487.16,1621.11,226.48,907.97,2535.44,1254.04,2769.17,2241.81,1838.24,1490.66,2057.64,1308.83,1997.11,1291.56,811.91,3202.18,1691.46,2171.28,1032.68,1743.64,755.36,629.27,2186.43,2240.26,1490.36,3276.21,1239.46,1412.35,1706.08,
Augusta ME,1954.22,1951.75,3807.54,2193.68,4284.18,2929.34,367.90,744.90,1999.00,1718.90,3665.80,1711.00,1440.72,1957.16,2218.47,1429.87,2426.74,0.00,813.48,240.30,1202.54,1839.58,2215.28,1965.05,3265.57,2228.55,4122.27,186.98,612.51,3196.53,369.98,1210.27,2413.88,1190.68,2546.98,4137.22,736.62,306.67,1499.09,2416.98,1698.89,2903.23,3434.74,222.62,989.25,4058.57,1189.28,1579.80,2861.90,
Annapolis MD,1166.30,1149.23,3229.69,1479.75,3859.29,2441.23,447.93,85.91,1185.78,914.76,3324.97,1133.78,835.07,1479.36,1654.32,733.28,1640.62,813.48,0.00,592.55,795.79,1520.80,1440.73,1358.40,2992.38,1732.01,3699.49,627.13,202.11,2617.43,468.90,403.04,2150.52,568.97,1897.49,3851.03,147.89,533.80,686.27,2061.75,958.70,2165.09,3007.03,671.31,179.85,3819.31,451.68,1173.12,2412.15,
Boston MA,1716.89,1740.61,3693.71,2023.67,4223.33,2841.28,148.76,517.76,1772.61,1506.40,3628.86,1581.15,1296.38,1862.01,2099.83,1257.96,2226.12,240.30,592.55,0.00,1105.25,1789.94,2020.16,1829.84,3246.97,2131.43,4061.49,102.06,390.74,3079.83,223.48,980.76,2390.31,1033.54,2402.40,4119.47,539.04,66.38,1272.69,2365.71,1515.66,2726.17,3369.18,244.31,762.90,4054.77,999.81,1497.62,2785.60,
Lansing MI,1538.45,1161.55,2605.07,1111.80,3123.60,1736.33,983.07,855.68,1367.27,999.03,2552.62,536.58,355.76,757.95,1019.54,504.61,1487.16,1202.54,795.79,1105.25,0.00,727.21,1261.07,791.00,2202.69,1028.63,2962.05,1059.41,861.14,1994.74,882.05,925.34,1355.86,334.42,1377.07,3067.00,694.37,1084.87,1018.03,1283.79,755.04,1814.94,2268.41,980.24,835.82,3027.60,546.26,396.45,1681.47,
St. Paul MN,2047.83,1516.15,2067.79,1137.03,2444.70,1135.26,1683.40,1582.68,1787.86,1451.31,1839.54,638.83,809.86,376.88,690.53,1014.29,1621.11,1839.58,1520.80,1789.94,727.21,0.00,1429.24,713.14,1476.17,546.66,2282.82,1727.30,1585.28,1495.96,1568.64,1589.41,629.93,995.59,1119.31,2343.06,1421.33,1780.23,1594.48,577.71,1112.50,1682.94,1597.62,1621.52,1542.63,2300.40,1200.28,361.53,1041.99,
Jackson MS,938.78,365.00,2044.42,334.77,2904.52,1564.43,1871.45,1524.54,597.43,563.85,2589.23,835.12,905.69,1076.71,898.95,814.02,226.48,2215.28,1440.73,2020.16,1261.07,1429.24,0.00,720.78,2443.07,1109.91,2763.33,2031.53,1635.22,1498.47,1845.47,1131.20,1847.68,1067.92,762.66,3152.14,1482.73,1967.13,872.24,1605.57,531.31,752.76,2147.65,2024.71,1298.67,3210.25,1026.05,1199.90,1629.58,
Jefferson City MO,1462.21,870.15,1874.11,426.02,2536.56,1111.65,1690.44,1440.85,1157.40,880.71,2081.79,256.06,535.09,356.75,307.86,637.46,907.97,1965.05,1358.40,1829.84,791.00,713.14,720.78,0.00,1846.01,459.83,2380.54,1804.07,1504.08,1260.42,1615.55,1237.54,1153.05,804.28,586.77,2638.14,1324.81,1795.10,1119.42,936.58,546.75,1055.25,1701.36,1746.76,1294.04,2656.56,917.60,551.63,1115.33,
Helena MT,3302.00,2694.64,1461.11,2112.08,1178.52,950.74,3149.97,3056.90,2982.37,2726.72,465.53,1955.77,2218.12,1566.72,1570.54,2401.54,2535.44,3265.57,2992.38,3246.97,2202.69,1476.17,2443.07,1846.01,0.00,1386.30,1037.97,3175.68,3061.35,1313.97,3029.86,3012.81,856.86,2446.71,1729.61,872.68,2897.06,3243.35,2950.88,942.08,2389.12,2192.66,648.09,3057.32,2998.94,828.51,2636.00,1819.61,836.34,
Lincoln NE,1918.48,1317.45,1586.34,777.24,2127.52,713.06,2003.76,1809.01,1605.96,1340.48,1632.26,607.71,901.00,271.40,214.39,1054.28,1254.04,2228.55,1732.01,2131.43,1028.63,546.66,1109.91,459.83,1386.30,0.00,1968.11,2088.01,1850.14,986.57,1909.00,1668.71,743.08,1163.05,598.11,2184.44,1671.71,2107.24,1573.80,495.92,1005.05,1175.87,1277.44,2005.93,1696.09,2197.69,1318.12,653.79,682.51,
Carson City NV,3699.23,3093.27,936.95,2480.49,161.95,1268.94,3944.61,3775.47,3358.32,3200.01,577.29,2573.14,2868.83,2222.25,2072.70,3011.98,2769.17,4122.27,3699.49,4061.49,2962.05,2282.82,2763.33,2380.54,1037.97,1968.11,0.00,4004.94,3810.03,1279.41,3838.24,3618.08,1756.14,3130.67,2004.81,696.79,3633.49,4045.42,3478.94,1706.21,2906.56,2234.89,694.10,3903.47,3662.05,911.56,3283.35,2566.14,1287.56,
Concord NH,1774.48,1765.08,3658.95,2017.87,4166.88,2794.72,185.45,560.30,1812.88,1532.08,3563.70,1552.21,1274.49,1817.33,2066.17,1252.46,2241.81,186.98,627.13,102.06,1059.41,1727.30,2031.53,1804.07,3175.68,2088.01,4004.94,0.00,426.93,3046.09,190.89,1025.55,2319.85,1018.26,2382.18,4048.36,550.69,154.24,1313.16,2304.52,1518.10,2725.26,3314.07,143.65,803.78,3979.47,1006.06,1446.71,2734.23,
Trenton NJ,1353.48,1350.07,3378.10,1657.79,3970.88,2562.97,245.92,134.62,1386.54,1115.77,3413.13,1267.09,970.76,1588.70,1790.82,898.41,1838.24,612.51,202.11,390.74,861.14,1585.28,1635.22,1504.08,3061.35,1850.14,3810.03,426.93,0.00,2764.10,283.32,598.80,2209.74,700.35,2059.70,3927.57,179.75,333.28,886.58,2144.59,1141.36,2351.69,3116.02,484.09,376.86,3883.86,625.99,1254.60,2523.47,
Santa Fe NM,2437.24,1843.27,614.37,1243.25,1412.79,458.22,2944.10,2700.50,2095.90,1977.36,1242.89,1500.44,1793.64,1252.76,980.15,1888.55,1490.66,3196.53,2617.43,3079.83,1994.74,1495.96,1498.47,1260.42,1313.97,986.57,1279.41,3046.09,2764.10,0.00,2861.15,2456.07,1308.80,2063.84,761.77,1771.90,2584.62,3048.75,2274.25,1075.52,1722.92,972.74,766.90,2974.61,2542.48,1889.15,2171.71,1637.22,614.10,
Albany NY,1633.28,1586.99,3474.61,1827.21,4000.07,2618.29,132.95,415.98,1648.87,1355.49,3408.05,1364.72,1084.69,1639.24,1881.00,1062.05,2057.64,369.98,468.90,223.48,882.05,1568.64,1845.47,1615.55,3029.86,1909.00,3838.24,190.89,283.32,2861.15,0.00,871.94,2173.00,827.43,2192.33,3901.98,371.49,213.78,1151.63,2143.65,1329.23,2535.16,3145.81,202.56,648.73,3840.78,819.43,1274.14,2562.14,
Raleigh NC,766.99,800.33,3055.99,1243.73,3773.94,2349.18,842.41,465.39,792.73,571.58,3299.18,1065.18,795.51,1449.55,1545.39,615.57,1308.83,1210.27,403.04,980.76,925.34,1589.41,1131.20,1237.54,3012.81,1668.71,3618.08,1025.55,598.80,2456.07,871.94,0.00,2207.51,602.08,1704.04,3845.48,522.65,917.87,294.78,2070.77,733.86,1879.88,2937.06,1074.31,223.26,3839.69,390.17,1227.93,2346.47,
